song_id,title,chart,play_style,rating,unlocked,note_count,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,source,id_resolution,updated_at
01000,5.1.1.,SPN,SP,2,True,99,0.1201,0.4,0.053,0,0,0.0223,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01000,5.1.1.,SPH,SP,6,True,511,0.5549,0.5428,0.1107,0,0,0.1523,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01000,5.1.1.,SPA,SP,10,True,786,0.8536,0.7714,1.1597,0,0,0.6695,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01001,GRADIUSIC CYBER,SPN,SP,5,True,442,0.4219,0.4142,0.0765,0.2655,0,0.0443,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01001,GRADIUSIC CYBER,SPH,SP,6,True,508,0.4849,0.5857,0.0765,0.2847,0,0.0509,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01001,GRADIUSIC CYBER,SPA,SP,7,True,609,0.5813,0.5428,0.1599,0.3102,0,0.1081,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01003,R3,SPN,SP,4,False,330,0.392,0.3714,0.1644,0,0,0.0625,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01003,R3,SPH,SP,5,False,368,0.4371,0.4142,0.1817,0,0,0.1017,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01003,R3,SPA,SP,6,False,454,0.5388,0.5571,0.2507,0,0,0.153,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01005,THE EARTH LIGHT,SPN,SP,4,False,398,0.4209,0.3714,0.0924,0,0,0.0365,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01005,THE EARTH LIGHT,SPH,SP,7,False,530,0.5605,0.5285,0.0924,0,0,0.1133,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01005,THE EARTH LIGHT,SPA,SP,8,False,581,0.6145,0.5714,0.0924,0,0,0.1279,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01006,GAMBOL,SPN,SP,2,True,137,0.1756,0.2142,0.1027,0,0,0.0265,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01006,GAMBOL,SPH,SP,2,True,137,0.1756,0.2142,0.1027,0,0,0.0265,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01008,GENOM SCREAMS,SPN,SP,3,False,211,0.2585,0.3142,0.25,0,0,0.0359,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01008,GENOM SCREAMS,SPH,SP,6,False,417,0.511,0.4857,0.1785,0,0,0.0711,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01008,GENOM SCREAMS,SPA,SP,9,False,536,0.6568,0.9142,0.1339,0,0,0.3051,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01009,22DUNK,SPN,SP,3,False,265,0.3499,0.3857,0.0962,0,0,0.04,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01009,22DUNK,SPH,SP,4,False,323,0.4265,0.4142,0.0962,0,0,0.08,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01009,22DUNK,SPA,SP,5,False,329,0.4371,0.5428,0.2323,0,0,0.1247,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01013,BRILLIANT 2U,SPN,SP,3,False,270,0.3106,0.4142,0.067,0,0,0.044,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01013,BRILLIANT 2U,SPH,SP,4,False,330,0.3797,0.5571,0.0838,0,0,0.1127,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01013,BRILLIANT 2U,SPA,SP,4,False,362,0.4165,0.5714,0.1173,0,0,0.1494,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01015,deep in you,SPN,SP,4,False,250,0.3064,0.3571,0.0803,0,0,0.012,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01015,deep in you,SPH,SP,4,False,255,0.3125,0.3571,0.125,0,0,0.01,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01015,deep in you,SPA,SP,5,False,333,0.4081,0.4714,0.2768,0,0,0.0731,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01019,KEEP ON MOVIN',SPN,SP,2,True,98,0.139,0.2,0.0723,0,0,0.004,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01019,KEEP ON MOVIN',SPH,SP,3,True,122,0.1731,0.2714,0.062,0,0,0.014,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01020,PARANOIA MAX～DIRTY MIX～,SPN,SP,5,False,280,0.2842,0.2857,0.2441,0,0,0.02,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01020,PARANOIA MAX～DIRTY MIX～,SPH,SP,6,False,376,0.3817,0.4571,0.2515,0,0,0.1347,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
01020,PARANOIA MAX～DIRTY MIX～,SPA,SP,8,False,562,0.5706,0.5714,0.3624,0,0,0.2309,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02000,.59,SPN,SP,4,True,360,0.3414,0.3142,0.0345,0.0832,0,0.022,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02000,.59,SPH,SP,6,True,514,0.4875,0.5142,0.076,0.1456,0,0.0939,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02000,.59,SPA,SP,7,True,584,0.5538,0.5428,0.076,0.1456,0,0.088,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02002,Dancin' Into The Night,SPN,SP,2,False,216,0.2422,0.3,0.1389,0,0,0.0531,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02002,Dancin' Into The Night,SPH,SP,3,False,235,0.2635,0.3285,0.1552,0,0,0.0691,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02006,I Was The One,SPN,SP,3,True,272,0.2777,0.3285,0.0223,0,0,0.008,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02006,I Was The One,SPH,SP,3,True,326,0.3329,0.3428,0.0744,0,0,0.038,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02006,I Was The One,SPA,SP,4,True,348,0.3553,0.5714,0.0744,0,0,0.058,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02011,Hitch Hiker,SPN,SP,3,False,329,0.341,0.3142,0.2189,0,0,0.048,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02011,Hitch Hiker,SPH,SP,4,False,414,0.4291,0.4142,0.2491,0,0,0.1191,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02011,Hitch Hiker,SPA,SP,5,False,469,0.4861,0.5142,0.2491,0,0,0.1711,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02012,SP-TRIP MACHINE(for beatmania II),SPN,SP,3,False,254,0.2904,0.3428,0.0833,0,0,0.0205,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02012,SP-TRIP MACHINE(for beatmania II),SPH,SP,4,False,313,0.3579,0.4857,0.0833,0,0,0.1279,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02012,SP-TRIP MACHINE(for beatmania II),SPA,SP,4,False,324,0.3705,0.5428,0.1583,0,0,0.1522,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02016,PUT YOUR FAITH IN ME(for beatmania II),SPN,SP,3,True,291,0.2484,0.3428,0.0746,0,0,0.0463,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
02016,PUT YOUR FAITH IN ME(for beatmania II),SPH,SP,6,True,434,0.3705,0.5,0.1119,0,0,0.1176,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03000,CAN'T STOP FALLIN'IN LOVE,SPN,SP,4,False,310,0.3166,0.3571,0.2083,0,0,0.0865,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03000,CAN'T STOP FALLIN'IN LOVE,SPH,SP,8,False,632,0.6454,0.6571,0.2604,0,0,0.3297,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03001,Don't Stop!,SPN,SP,4,False,389,0.3471,0.3428,0.0845,0,0,0.1577,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03001,Don't Stop!,SPH,SP,4,False,428,0.382,0.4142,0.104,0,0,0.2077,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03001,Don't Stop!,SPA,SP,4,False,453,0.4043,0.4285,0.1105,0,0,0.2558,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03004,era (nostalmix),SPN,SP,5,True,437,0.3871,0.4428,0.0258,0.6548,0,0.0179,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03004,era (nostalmix),SPH,SP,8,True,555,0.4917,0.7142,0.1097,0.9128,0,0.1417,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03004,era (nostalmix),SPA,SP,9,True,786,0.7316,0.7142,0.061,1.0931,0,0.1105,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03005,Holic,SPN,SP,5,False,395,0.4496,0.3857,0.2654,0,0,0.0925,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03005,Holic,SPH,SP,7,False,624,0.7103,0.7142,0.2902,0,0,0.4096,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03005,Holic,SPA,SP,11,True,880,1.0018,1.1973,0.2902,0,0,0.5726,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03006,LEADING CYBER,SPN,SP,4,False,434,0.4254,0.4857,0.0999,0,0,0.0145,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03006,LEADING CYBER,SPH,SP,6,False,611,0.599,0.5714,0.0928,0,0,0.0385,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03006,LEADING CYBER,SPA,SP,7,False,645,0.6323,0.5571,0.2714,0,0,0.0671,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03008,R5,SPN,SP,5,True,387,0.4428,0.4571,0.1584,0,0,0.1756,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
03008,R5,SPH,SP,8,True,588,0.6729,0.7142,0.2084,0,0,0.3989,official_memory_cache,tracker_row_order_memory_songid,2026-03-15T08:52:21Z
